SideOfVFD,Product, Class, Size, Unit, Power, Frequency, Part Number, Notes, Notes2, Notes3
Mains, Harmonic Filter (Z1), 480V 3PH (NEMA1 Enclosure), 46, A, 750, 60, 19Z1C05-4000, For 40HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH (NEMA1 Enclosure), 57, A, 900, 60, 20Z1C05-4000, For 50HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH (NEMA1 Enclosure), 69, A, 1100, 60, 21Z1C05-4000, For 60HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH (NEMA1 Enclosure), 90, A, 1500, 60, 22Z1C05-4000, For 75HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH (NEMA1 Enclosure), 115, A, 1900, 60, 23Z1C05-4000, For 100HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH (NEMA1 Enclosure), 150, A, 2400, 60, 24Z1C05-4000, For 125HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH (NEMA1 Enclosure), 190, A, 2300, 60, 25Z1C05-4000, For 150HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH (NEMA1 Enclosure), 220, A, 3100, 60, 26Z1C05-4000, For 200HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH (NEMA1 Enclosure), 300, A, 3500, 60, 27Z1C05-4000, For 250HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH (NEMA1 Enclosure), 360, A, 4200, 60, 29Z1C05-4000, For 300HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH (NEMA1 Enclosure), 410, A, 4400, 60, 30Z1C05-4000, For 350HP Inverter, THDI < 8%, (Umax = 528V),

Mains, Central HF Filter (E4/E6), 480V (3PH), 12, A, 8, 50/60, 12E6T60-3000, C1/50m,C2/100m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (3PH), 22, A, 14, 50/60, 14E6T60-3000, C1/50m,C2/100m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (3PH), 43, A, 18, 50/60, 16E6T60-3000, C1/50m,C2/100m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (3PH), 65, A, 27, 50/60, 18E6T60-3000, C1/50m,C2/100m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (3PH), 82, A, 110, 50/60, 20E6T60-3100, C1/500m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (3PH), 100, A, 54, 50/60, 20E6T60-3000, C1/50m,C2/100m, Umax = 550V,
Mains, Central HF Filter (E4/E6), 480V (3PH), 150, A, 80, 50/60, 22E6T60-3100, C1/50m,C2/100m, Umax = 550V,
